Title,Actor,BoxOffice_Min_USD_million,BoxOffice_Max_USD_million
Bigil,Vijay,32.54,34.25
Master,Vijay,25.12,34.25
Varisu,Vijay,33.11,33.46
Leo,Vijay,68.85,71.13
The Greatest of All Time,Vijay,50.24,52.07
Petta,Rajinikanth,25.01,28.55
Darbar,Rajinikanth,23.06,28.55
Annaatthe,Rajinikanth,15.99,27.4
Jailer,Rajinikanth,69.08,69.08
Lal Salaam,Rajinikanth,2.26,2.26
Vettaiyan,Rajinikanth,27.4,28.55
